Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: plus, Task type: greater, Task: 2 + 1, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 0/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: plus, Task type: greater, Task: 6 + 4, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 1/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: plus, Task type: greater, Task: 7 + 3, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 2/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: plus, Task type: greater, Task: 9 + 1, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 2/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: plus, Task type: greater, Task: 7 + 3, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 2/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: plus, Task type: greater, Task: 9 + 1, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 2/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: plus, Task type: greater, Task: 5 + 3, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 2/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: plus, Task type: greater, Task: 5 + 1, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 2/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: plus, Task type: same, Task: 2 + 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 3/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: plus, Task type: smaller, Task: 1 + 4, Correct answer: 5, Answered: 5, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 3/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: plus, Task type: smaller, Task: 2 + 8, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 3/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: plus, Task type: greater, Task: 6 + 4, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 3/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: plus, Task type: same, Task: 5 + 5, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 3/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: plus, Task type: smaller, Task: 1 + 6, Correct answer: 7, Answered: 7, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 3/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: minus, Task type: greater, Task: 6 - 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 4/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: minus, Task type: greater, Task: 8 - 2, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 4/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: minus, Task type: greater, Task: 6 - 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 4/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: minus, Task type: greater, Task: 8 - 2, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 4/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: minus, Task type: greater, Task: 6 - 4, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 4/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: minus, Task type: greater, Task: 6 - 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 4/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: minus, Task type: greater, Task: 9 - 1, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 5/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: minus, Task type: greater, Task: 5 - 3, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 5/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: minus, Task type: greater, Task: 7 - 1, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 5/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: minus, Task type: greater, Task: 9 - 1, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 5/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: minus, Task type: same, Task: 5 - 5, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 5/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: minus, Task type: greater, Task: 3 - 1, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 5/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: minus, Task type: greater, Task: 6 - 3, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 6/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: minus, Task type: same, Task: 3 - 3, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 6/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: minus, Task type: greater, Task: 6 - 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 6/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: minus, Task type: same, Task: 3 - 3, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 6/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: minus, Task type: greater, Task: 8 - 1, Correct answer: 7, Answered: 7, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 6/37,
Current playmode: storyMode, Range of numbers: 10, Number type: mixed, Operation: minus, Task type: greater, Task: 6 - 4, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 6/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: plus, Task type: greater, Task: 7 + 2, Correct answer: 9, Answered: 9, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 7/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: plus, Task type: greater, Task: 4 + 3, Correct answer: 7, Answered: 7, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 7/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: plus, Task type: greater, Task: 5 + 1, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 7/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: plus, Task type: greater, Task: 5 + 3, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 7/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: plus, Task type: greater, Task: 9 + 3, Correct answer: 12, Answered: 12, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 7/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: plus, Task type: greater, Task: 2 + 1, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 7/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: minus, Task type: greater, Task: 7 - 5, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 8/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: minus, Task type: greater, Task: 9 - 3, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 8/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: minus, Task type: same, Task: 3 - 3, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 8/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: minus, Task type: same, Task: 1 - 1, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 8/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: minus, Task type: same, Task: 6 - 6, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 8/37,
Current playmode: storyMode, Range of numbers: 12, Number type: mixed, Operation: minus, Task type: greater, Task: 4 - 3, Correct answer: 1, Answered: 1, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 8/37,
Current playmode: storyMode, Range of numbers: 15, Number type: mixed, Operation: plus, Task type: smaller, Task: 4 + 8, Correct answer: 12, Answered: 12, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 9/37,
Current playmode: storyMode, Range of numbers: 15, Number type: mixed, Operation: minus, Task type: smaller, Task: 8 - 1, Correct answer: 7, Answered: 7, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 9/37,
Current playmode: storyMode, Range of numbers: 15, Number type: mixed, Operation: plus, Task type: same, Task: 7 + 7, Correct answer: 14, Answered: 14, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 9/37,
Current playmode: storyMode, Range of numbers: 15, Number type: mixed, Operation: minus, Task type: same, Task: 5 - 5, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 9/37,
Current playmode: storyMode, Range of numbers: 15, Number type: mixed, Operation: minus, Task type: smaller, Task: 3 - 1, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 9/37,
Current playmode: storyMode, Range of numbers: 15, Number type: mixed, Operation: plus, Task type: greater, Task: 9 + 5, Correct answer: 14, Answered: 14, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 9/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: plus, Task type: same, Task: 2 + 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 10/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: plus, Task type: same, Task: 4 + 4, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 10/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: plus, Task type: same, Task: 1 + 1, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 10/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: plus, Task type: same, Task: 7 + 7, Correct answer: 14, Answered: 14, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 10/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: plus, Task type: same, Task: 9 + 9, Correct answer: 18, Answered: 18, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 10/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: plus, Task type: same, Task: 3 + 3, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 10/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: minus, Task type: smaller, Task: 4 - 3, Correct answer: 1, Answered: 1, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 11/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: minus, Task type: smaller, Task: 7 - 6, Correct answer: 1, Answered: 1, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 11/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: minus, Task type: smaller, Task: 9 - 1, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 11/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: minus, Task type: greater, Task: 17 - 2, Correct answer: 15, Answered: 15, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 11/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: minus, Task type: greater, Task: 12 - 1, Correct answer: 11, Answered: 11, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 11/37,
Current playmode: storyMode, Range of numbers: 20, Number type: mixed, Operation: minus, Task type: same, Task: 8 - 8, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 11/37,
Current playmode: storyMode, Range of numbers: 24, Number type: mixed, Operation: minus, Task type: greater, Task: 8 - 4, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 12/37,
Current playmode: storyMode, Range of numbers: 24, Number type: mixed, Operation: plus, Task type: same, Task: 3 + 3, Correct answer: 6, Answered: 6, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 12/37,
Current playmode: storyMode, Range of numbers: 24, Number type: mixed, Operation: plus, Task type: smaller, Task: 2 + 17, Correct answer: 19, Answered: 19, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 12/37,
Current playmode: storyMode, Range of numbers: 24, Number type: mixed, Operation: plus, Task type: greater, Task: 11 + 8, Correct answer: 19, Answered: 19, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 12/37,
Current playmode: storyMode, Range of numbers: 24, Number type: mixed, Operation: plus, Task type: greater, Task: 12 + 10, Correct answer: 22, Answered: 22, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 12/37,
Current playmode: storyMode, Range of numbers: 24, Number type: mixed, Operation: plus, Task type: greater, Task: 18 + 2, Correct answer: 20, Answered: 20, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 12/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: plus, Task type: smaller, Task: 17 + 33, Correct answer: 50, Answered: 50, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 13/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: plus, Task type: greater, Task: 21 + 4, Correct answer: 25, Answered: 25, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 13/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: plus, Task type: smaller, Task: 18 + 28, Correct answer: 46, Answered: 46, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 13/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: plus, Task type: greater, Task: 33 + 15, Correct answer: 48, Answered: 48, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 13/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: plus, Task type: smaller, Task: 15 + 16, Correct answer: 31, Answered: 31, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 13/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: plus, Task type: smaller, Task: 5 + 14, Correct answer: 19, Answered: 19, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 13/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: minus, Task type: greater, Task: 25 - 16, Correct answer: 9, Answered: 9, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 14/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: minus, Task type: greater, Task: 21 - 4, Correct answer: 17, Answered: 17, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 14/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: minus, Task type: greater, Task: 34 - 10, Correct answer: 24, Answered: 24, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 14/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: minus, Task type: greater, Task: 27 - 13, Correct answer: 14, Answered: 14, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 14/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: minus, Task type: same, Task: 24 - 24, Correct answer: 0, Answered: 0, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 14/37,
Current playmode: storyMode, Range of numbers: 50, Number type: mixed, Operation: minus, Task type: greater, Task: 26 - 10, Correct answer: 16, Answered: 16, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 14/37,
Current playmode: storyMode, Range of numbers: 100, Number type: mixed, Operation: minus, Task type: smaller, Task: 75 - 6, Correct answer: 69, Answered: 69, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 15/37,
Current playmode: storyMode, Range of numbers: 100, Number type: mixed, Operation: minus, Task type: greater, Task: 77 - 3, Correct answer: 74, Answered: 74, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 15/37,
Current playmode: storyMode, Range of numbers: 100, Number type: mixed, Operation: minus, Task type: smaller, Task: 62 - 20, Correct answer: 42, Answered: 42, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 15/37,
Current playmode: storyMode, Range of numbers: 100, Number type: mixed, Operation: plus, Task type: smaller, Task: 1 + 33, Correct answer: 34, Answered: 34, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 15/37,
Current playmode: storyMode, Range of numbers: 100, Number type: mixed, Operation: minus, Task type: smaller, Task: 96 - 4, Correct answer: 92, Answered: 92, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 15/37,
Current playmode: storyMode, Range of numbers: 100, Number type: mixed, Operation: plus, Task type: smaller, Task: 18 + 65, Correct answer: 83, Answered: 83, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 15/37,
Current playmode: storyMode, Range of numbers: 1000, Number type: mixed, Operation: minus, Task type: greater, Task: 252 - 182, Correct answer: 70, Answered: 70, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 16/37,
Current playmode: storyMode, Range of numbers: 1000, Number type: mixed, Operation: plus, Task type: greater, Task: 456 + 362, Correct answer: 818, Answered: 818, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 16/37,
Current playmode: storyMode, Range of numbers: 1000, Number type: mixed, Operation: minus, Task type: greater, Task: 568 - 66, Correct answer: 502, Answered: 502, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 16/37,
Current playmode: storyMode, Range of numbers: 1000, Number type: mixed, Operation: plus, Task type: greater, Task: 660 + 163, Correct answer: 823, Answered: 823, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 16/37,
Current playmode: storyMode, Range of numbers: 1000, Number type: mixed, Operation: plus, Task type: greater, Task: 783 + 68, Correct answer: 851, Answered: 851, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 16/37,
Current playmode: storyMode, Range of numbers: 1000, Number type: mixed, Operation: plus, Task type: greater, Task: 212 + 160, Correct answer: 372, Answered: 372, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 16/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: times, Task type: greater, Task: 5 × 2, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 17/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: times, Task type: greater, Task: 10 × 1, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 17/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: times, Task type: same, Task: 1 × 1, Correct answer: 1, Answered: 1, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 17/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: times, Task type: greater, Task: 2 × 1, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 17/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: times, Task type: greater, Task: 10 × 1, Correct answer: 10, Answered: 10, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 17/37,
Current playmode: storyMode, Range of numbers: 10, Number type: core, Operation: times, Task type: greater, Task: 2 × 1, Correct answer: 2, Answered: 2, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 17/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: times, Task type: greater, Task: 4 × 2, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 18/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: times, Task type: same, Task: 2 × 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 18/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: times, Task type: greater, Task: 4 × 2, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 18/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: times, Task type: same, Task: 2 × 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 18/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: times, Task type: greater, Task: 4 × 2, Correct answer: 8, Answered: 8, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 18/37,
Current playmode: storyMode, Range of numbers: 10, Number type: even, Operation: times, Task type: same, Task: 2 × 2, Correct answer: 4, Answered: 4, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 18/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: times, Task type: greater, Task: 3 × 1, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 19/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: times, Task type: same, Task: 1 × 1, Correct answer: 1, Answered: 1, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 19/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: times, Task type: greater, Task: 3 × 1, Correct answer: 3, Answered: 3, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 19/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: times, Task type: same, Task: 3 × 3, Correct answer: 9, Answered: 9, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 19/37,
Current playmode: storyMode, Range of numbers: 10, Number type: uneven, Operation: times, Task type: greater, Task: 9 × 1, Correct answer: 9, Answered: 9, Correct: True, Time ultimatum: -1, Time needed: 0.00, Used Bomb: False, Story mode level: 19/37,
